1,2,2,2,4,2,3,4,4,2,6,2,4,6,4,2,7,2,6,6,4,2,8,4,4,6,6,2,10,2,5,
2,1,4,2,4,2,6,2,6,2,7,2,6,4,8,2,6,2,10,4,6,2,10,4,6,3,10,2,10,2,10,
2,4,3,4,6,4,4,7,6,4,8,4,6,10,5,4,10,4,8,10,6,4,10,7,6,10,8,4,14,4,6,
2,2,4,1,6,2,6,4,4,2,10,2,6,4,8,2,10,2,7,6,6,2,14,2,6,6,10,2,10,2,10,
4,4,6,6,7,6,8,6,10,6,10,6,10,10,10,6,10,6,14,10,10,6,13,10,10,8,14,6,16,6,12,
2,2,4,2,6,1,6,4,6,2,10,2,4,6,8,2,10,2,10,4,6,2,14,4,6,6,7,2,14,2,10,
3,6,4,6,8,6,5,10,8,6,10,6,8,14,6,6,13,6,10,14,8,6,12,10,8,14,10,6,18,6,7,
4,2,7,4,6,4,10,3,10,4,10,4,10,6,13,4,8,4,16,6,10,4,14,7,10,4,16,4,14,4,16,
4,6,6,4,10,6,8,10,7,6,14,6,10,10,10,6,16,6,10,14,10,6,18,6,10,14,14,6,16,6,12,
2,2,4,2,6,2,6,4,6,1,10,2,6,6,8,2,10,2,10,6,4,2,14,4,6,6,10,2,14,2,10,
6,7,8,10,10,10,10,10,14,10,13,10,14,16,12,10,14,10,18,16,14,10,16,16,14,13,18,10,22,10,14,
2,2,4,2,6,2,6,4,6,2,10,1,6,6,8,2,10,2,10,6,6,2,14,4,4,6,10,2,14,2,10,
4,6,6,6,10,4,8,10,10,6,14,6,7,14,10,6,16,6,14,10,10,6,18,10,10,14,10,6,22,6,12,
6,4,10,4,10,6,14,6,10,6,16,6,14,7,18,6,14,6,16,10,14,6,22,6,14,8,22,6,16,6,22,
4,8,5,8,10,8,6,13,10,8,12,8,10,18,7,8,16,8,12,18,10,8,14,13,10,18,12,8,22,8,8,
2,2,4,2,6,2,6,4,6,2,10,2,6,6,8,1,10,2,10,6,6,2,14,4,6,6,10,2,14,2,10,
7,6,10,10,10,10,13,8,16,10,14,10,16,14,16,10,13,10,22,14,16,10,18,16,16,10,22,10,22,10,19,
2,2,4,2,6,2,6,4,6,2,10,2,6,6,8,2,10,1,10,6,6,2,14,4,6,6,10,2,14,2,10,
6,10,8,7,14,10,10,16,10,10,18,10,14,16,12,10,22,10,13,22,14,10,22,10,14,22,18,10,22,10,14,
6,4,10,6,10,4,14,6,14,6,16,6,10,10,18,6,14,6,22,7,14,6,22,10,14,8,16,6,22,6,22,
4,6,6,6,10,6,8,10,10,4,14,6,10,14,10,6,16,6,14,14,7,6,18,10,10,14,14,6,22,6,12,
2,2,4,2,6,2,6,4,6,2,10,2,6,6,8,2,10,2,10,6,6,1,14,4,6,6,10,2,14,2,10,
8,10,10,14,13,14,12,14,18,14,16,14,18,22,14,14,18,14,22,22,18,14,19,22,18,18,22,14,28,14,16,
4,4,7,2,10,4,10,7,6,4,16,4,10,6,13,4,16,4,10,10,10,4,22,3,10,10,16,4,14,4,16,
4,6,6,6,10,6,8,10,10,6,14,4,10,14,10,6,16,6,14,14,10,6,18,10,7,14,14,6,22,6,12,
6,3,10,6,8,6,14,4,14,6,13,6,14,8,18,6,10,6,22,8,14,6,18,10,14,5,22,6,18,6,22,
6,10,8,10,14,7,10,16,14,10,18,10,10,22,12,10,22,10,18,16,14,10,22,16,14,22,13,10,30,10,14,
2,2,4,2,6,2,6,4,6,2,10,2,6,6,8,2,10,2,10,6,6,2,14,4,6,6,10,1,14,2,10,
10,10,14,10,16,14,18,14,16,14,22,14,22,16,22,14,22,14,22,22,22,14,28,14,22,18,30,14,25,14,26,
2,2,4,2,6,2,6,4,6,2,10,2,6,6,8,2,10,2,10,6,6,2,14,4,6,6,10,2,14,1,10,
5,10,6,10,12,10,7,16,12,10,14,10,12,22,8,10,19,10,14,22,12,10,16,16,12,22,14,10,26,10,9,
